amfi_code,cagr,volatility,sharpe_ratio,scheme_name,max_drawdown,score,rank
148567,0.30949920362874206,0.008941194822595979,1.4835180500021583,Mirae Asset Large Cap Fund - Regular - Growth,-0.1126572907502827,0.5350579092270595,1
120843,0.30883325525154603,0.010007860815167777,1.3382162691672514,Kotak Flexicap Fund - Regular - Growth,-0.1297396816518679,0.48607627835523354,2
120507,0.0723241093234459,0.00031113570896708256,1.5080481923792746,ICICI Pru Liquid Fund - Regular - Growth,-0.000977314004592568,0.48105090724178295,3
148569,0.31924485848158723,0.011133577708427352,1.2632201587776628,Mirae Asset Tax Saver Fund - Regular - Growth,-0.16396742946932633,0.45747376218513586,4
120505,0.3280159948038617,0.012152155877011198,1.2060200878857328,ICICI Pru Midcap Fund - Regular - Growth,-0.1818851357211629,0.43844688357091566,5
119551,0.2578492084946409,0.008656289856377569,1.2446528713667202,SBI Bluechip Fund - Regular Plan - Growth,-0.15012385498645334,0.43149838831193643,6
149323,0.29558105232568344,0.011179029641055074,1.1602969628633422,DSP Midcap Fund - Regular - Growth,-0.17248105753451382,0.41457719252892183,7
100033,0.30099703552874524,0.011929006552266409,1.120102484097127,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.1621720857464485,0.4077779337167016,8
118632,0.2403119561352478,0.008912624198545506,1.1169989835557548,Nippon India Large Cap Fund - Regular - Growth,-0.17414075086657232,0.37898225226085386,9
101206,0.23520488754230384,0.009177111485957208,1.0615346276281645,ABSL Frontline Equity Fund - Regular - Growth,-0.11291596329323078,0.3786675543174016,10
120504,0.2327744753273051,0.009048331253877995,1.0613340619103409,ICICI Pru Bluechip Fund - Direct - Growth,-0.12588275606922514,0.3737451818832568,11
119094,0.28192608222062465,0.012225334849231509,1.023994730602256,Axis Midcap Fund - Regular - Growth,-0.20960883862039192,0.3570862004828091,12
119552,0.21508021785499332,0.008780976223037761,0.9891491298286872,SBI Bluechip Fund - Direct Plan - Growth,-0.118034935027643,0.3473663455823106,13
119598,0.3239808398464554,0.015837075918187664,0.9651964234751246,SBI Small Cap Fund - Regular Plan - Growth,-0.28706005721764555,0.33303324581582594,14
148568,0.22499840384352243,0.009719447430866661,0.9586935505263746,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.1527259422823477,0.331789644010617,15
